UniqueSystemIdentifier|Account|ChargeProfile|DateIdentityRegistered|DateRiskRatingwasLastUpdated|IdentityStatus|IdentityType|OrganizationName|OrganizationRiskRating|OrganizationUniqueReferenceDetails|ParentUniqueReferenceIdentifier|ParentName|Products|Segment|TrustLevel|Contacts|AddressLine1|AddressLine2|AddressLine3|TownCity|PostCode|CompanyUniqueIdentifier|RuleProfile
201000000000010002|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210707092442||Active|Organization|20210617002||20210617002|200000000000010001||MNO Product||Top Organization Level 3||||||||30072
201000000000011002|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210709063934||Active|Organization|SuperMarket||0511|200000000000010001||Merchant Product||Top Organization Level 3||||||||30072
201000000000011012|Organization E-Money Account~AOA~Active|Top Organization Default Charge Profile|20210712023829||Active|Organization|ora0503||0503|200000000000010001||Merchant Product||Top Organization Level 3||||||||30072
201000000000012001|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Settlement Account~AOA~Active|Child Organization Default Charge Profile|20210714025643||Active|Organization|05012||05012|201000000000010006|org0501|Aggregator Agency - Child||Child Organization Level 3||||||||30073
201000000000015008||Top Organization Default Charge Profile|20210803111224||New|Organization|OrgIndira||2120|200000000000010001||Centrally Owned Agency - Head Office||Top Organization Level 3||||||||30072
201000000000016002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210812003853||Active|Organization|Orgp||2197|201000000000015021||||Child Organization Level 3|Owner~~~~~~||||Luanda|||30073
201000000000018003|Organization E-Money Account~AOA~New|Top Organization Default Charge Profile|20210817113946||New|Organization|6110000||6110000|200000000000010001||||Top Organization Level 3||||||||30072
201000000000020002|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210902142806||Active|Organization|TopOrgAndrea||4010|200000000000010001||Centrally Owned Agency - Head Office,Merchant Product||Top Organization Level 3||||||||30072
201000000000020007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active|Child Organization Default Charge Profile|20210902145250||Active|Organization|ChildOrgArcanjo||2210|201000000000020006|TopOrgArcanjo|Centrally Owned Agency - Child||Child Organization Level 3||||||||30073
201000000000021002|Organization Commission Held Account~AOA~Active,Organization Commission Payable Account~AOA~Active,Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active,Organization Fee Paid Account~AOA~Active,Settlement Account~AOA~Active|Top Organization Default Charge Profile|20210907100332||Active|Organization|000112||000112|200000000000010001||Aggregator Agency - Head Office||Top Organization Level 3||||||||30072
201000000000024007|Organization Commission Received Account~AOA~Active,Organization E-Money Account~AOA~Active|Child Organization Default Charge Profile|20211011173613||Active|Organization|CHILD113T||CTC2021113|201000000000024006|TTOP113|Aggregator Agency - Child||Child Organization Level 3||||||||30073
